Order_ID,Order_Date,Customer_Location,Customer_ID,Age,Occupation,Gender,Category_Name,Category_ID,Product_ID,Product_Name,Quantity_Sold,Material,Unit_Price ($),Total_Revenue ($),Eco_Certification,Manufacturing_Emission (kg CO2),Water_Usage (liters),Percentage_Recycled_Material (%),Carbon_Offset_Investment ($),Return_Status,Return_Reason,Customer_Feedback
ORD-000001,2023-10-25,"Norway, Bergen",CUST-00001,33,Special effects artist,Male,Shirt,CAT-01,SHI-3954,Shirt Classic,3,Linen,50,150,GOTS,12.39,1800,77,0.62,Returned,Not as Expected,Excellent
ORD-000002,2025-01-08,"Sweden, Stockholm",CUST-00002,55,Herpetologist,Female,Shoes,CAT-05,SHO-9745,Shoes Style,3,Recycled Polyester,135,405,OEKO-TEX,3.58,2238,70,0.18,Not Returned,,Excellent
ORD-000003,2024-07-30,"Netherlands, Amsterdam",CUST-00003,47,Immigration officer,Female,Jacket,CAT-04,JA-3514,Jacket Classic,3,Hemp,250,750,B Corp,5.56,779,65,0.28,Not Returned,,Excellent
ORD-000004,2024-05-28,"Norway, Oslo",CUST-00004,42,Counselling psychologist,Male,Bag,CAT-06,BA-2024,Bag Eco,1,Recycled Polyester,90,90,OEKO-TEX,8.9,1135,48,0.45,Not Returned,,Good
ORD-000005,2023-08-29,"USA, Portland",CUST-00005,33,Risk manager,Female,Pants,CAT-02,PA-4342,Pants Eco,4,Recycled Polyester,75,300,Fair Trade,2.73,1306,56,0.14,Not Returned,,Excellent
ORD-000006,2023-05-01,"USA, Boulder",CUST-00006,50,Architectural technologist,Male,Jacket,CAT-04,JA-2755,Jacket Classic,3,Linen,220,660,Fair Trade,5.88,2058,79,0.29,Not Returned,,Good
ORD-000007,2023-09-25,"USA, Seattle",CUST-00007,36,Astronomer,Male,Shirt,CAT-01,SHI-1581,Shirt Classic,4,Bamboo,50,200,GOTS,2.38,1393,89,0.12,Not Returned,,Good
ORD-000008,2023-09-01,"Canada, Victoria",CUST-00008,36,Dancer,Female,Jacket,CAT-04,JA-4155,Jacket Style,4,Linen,225,900,GOTS,6.59,1344,92,0.33,Not Returned,,Poor
ORD-000009,2023-12-06,"USA, Portland",CUST-00009,28,"Physicist, medical",Female,Shoes,CAT-05,SHO-9316,Shoes Green,2,Hemp,185,370,GOTS,10.2,2536,57,0.51,Not Returned,,Excellent
ORD-000010,2025-03-04,"Germany, Freiburg",CUST-00010,54,Chief Marketing Officer,Other,Pants,CAT-02,PA-9889,Pants Classic,5,Hemp,90,450,Fair Trade,11.93,1240,53,0.6,Not Returned,,Average
ORD-000011,2024-05-08,"USA, Santa Cruz",CUST-00011,45,"Radiographer, therapeutic",Female,Shirt,CAT-01,SHI-6841,Shirt Eco,1,Bamboo,55,55,B Corp,8.38,1572,18,0.42,Not Returned,,Excellent
ORD-000012,2025-03-23,"New Zealand, Wellington",CUST-00012,45,Chief Strategy Officer,Female,Bag,CAT-06,BA-9606,Bag Classic,1,Linen,110,110,GOTS,14.9,748,26,0.75,Not Returned,,Excellent
ORD-000013,2024-02-21,"Australia, Melbourne",CUST-00013,27,Operations geologist,Female,Shoes,CAT-05,SHO-3817,Shoes Green,3,Bamboo,170,510,Fair Trade,14.8,575,47,0.74,Not Returned,,Excellent
ORD-000014,2024-11-13,"Germany, Freiburg",CUST-00014,42,Haematologist,Male,Shirt,CAT-01,SHI-5307,Shirt Classic,2,Bamboo,55,110,OEKO-TEX,5.87,1741,92,0.29,Not Returned,,Poor
ORD-000015,2024-02-17,"Norway, Bergen",CUST-00015,49,"Engineer, building services",Male,Bag,CAT-06,BA-2461,Bag Style,1,Bamboo,110,110,Fair Trade,8.39,2060,50,0.42,Not Returned,,Average
